Key,en,hi,ar,es,fr
Contact Messages,Contact Messages,संपर्क संदेश,رسائل الاتصال,Mensajes de contacto,Messages de contact
Subscribers,Subscribers,ग्राहकों,المشتركين,Suscriptores,Abonnés
Schedules,Schedules,अनुसूचियों,الجداول الزمنية,Horarios,Horaires
Schedule Days,Schedule Days,दिन निर्धारित करें,أيام الجدول الزمني,Programar días,Jours programmés
Interface Panel,Interface Panel,इंटरफ़ेस पैनल,لوحة الواجهة,Panel de interfaz,Panneau d'interface
User Care,User Care,उपयोगकर्ता देखभाल,رعاية المستخدم,Atención al usuario,Entretien utilisateur
Active Users,Active Users,सक्रिय उपयोगकर्ता,المستخدمون النشطون,Usuarios activos,Utilisateurs actifs
Email Unverified,Email Unverified,ईमेल असत्यापित,لم يتم التحقق من البريد الإلكتروني,Correo electrónico no verificado,E-mail non vérifié
All Users,All Users,सभी उपयोगकर्ता,كافة المستخدمين,Todos los usuarios,Tous les utilisateurs
Email to Users,Email to Users,उपयोगकर्ताओं को ईमेल करें,البريد الإلكتروني للمستخدمين,Correo electrónico a los usuarios,E-mail aux utilisateurs
Banned Users,Banned Users,प्रतिबंधित उपयोगकर्ता,المستخدمون المحظورون,Usuarios prohibidos,Utilisateurs bannis
Admin Care,Admin Care,व्यवस्थापक देखभाल,رعاية المشرف,Atención administrativa,Soins administratifs
All Admin,All Admin,सभी व्यवस्थापक,كل المشرف,Todos los administradores,Tous les administrateurs
Admin Role,Admin Role,व्यवस्थापक भूमिका,دور المشرف,Rol de administrador,Rôle d'administrateur
Role Permission,Role Permission,भूमिका की अनुमति,إذن الدور,Permiso de rol,Autorisation de rôle
Email to Admin,Email to Admin,व्यवस्थापक को ईमेल करें,البريد الإلكتروني إلى المشرف,Enviar correo electrónico al administrador,Envoyer un e-mail à l'administrateur
Settings,Settings,सेटिंग्स,إعدادات,Ajustes,Paramètres
Web Settings,Web Settings,वेब सेटिंग्स,إعدادات الويب,Configuración web,Paramètres Web
Basic Settings,Basic Settings,बुनियादी सेटिंग्स,الإعدادات الأساسية,Configuraciones básicas,Paramètres de base
Image Assets,Image Assets,छवि संपत्ति,أصول الصورة,Recursos de imagen,Actifs d’image
App Settings,App Settings,ऐप सेटिंग्स,إعدادات التطبيق,Configuración de la aplicación,Paramètres de l'application
Splash Screen,Splash Screen,स्प्लैश स्क्रीन,شاشة سبلاش,Pantalla de bienvenida,Écran de démarrage
Onboard Screen,Onboard Screen,ऑनबोर्ड स्क्रीन,شاشة على متن الطائرة,Pantalla integrada,Écran embarqué
App Urls,App Urls,ऐप यूआरएल,عناوين URL للتطبيق,URL de aplicaciones,URL d'application
Languages,Languages,बोली,اللغات,Idiomas,Langues
Verification Center,Verification Center,सत्यापन केंद्र,مركز التحقق,Centro de verificación,Centre de vérification
Setup Email,Setup Email,सेटअप ईमेल,إعداد البريد الإلكتروني,Configurar correo electrónico,E-mail de configuration
Email Method,Email Method,ईमेल विधि,طريقة البريد الإلكتروني,Método de correo electrónico,Méthode de courrier électronique
Setup Web Content,Setup Web Content,वेब सामग्री सेटअप करें,إعداد محتوى الويب,Configurar contenido web,Configurer le contenu Web
Opps! User doesn't exists,Opps! User doesn't exists,उफ़! उपयोगकर्ता मौजूद नहीं है,انتبه! المستخدم غير موجود,¡Ups! El usuario no existe,Oups ! L'utilisateur n'existe pas
Setup Pages,Setup Pages,पेज सेटअप करें,صفحات الإعداد,Páginas de configuración,Pages de configuration
Useful Links,Useful Links,उपयोगी कड़ियां,روابط مفيدة,Enlaces útiles,Liens utiles
Notification,Notification,अधिसूचना,إشعار,Notificación,Notification
Push Notification,Push Notification,सर्वर पुश नोटीफिकेशन,دفع الإخطار,Notificación push,Notification poussée
Setup Notification,Setup Notification,सेटअप अधिसूचना,إشعار الإعداد,Notificación de configuración,Notification de configuration
Send Notification,Send Notification,अधिसूचना भेजें,إرسال الإخطار,Enviar notificación,Envoyer une notification
Bonus,Bonus,बोनस,علاوة,Prima,Prime
GDPR Cookie,GDPR Cookie,जीडीपीआर कुकी,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD,Cookie RGPD
Server Info,Server Info,सर्वर जानकारी,معلومات الخادم,Información del servidor,Informations sur le serveur
Clear Cache,Clear Cache,कैश को साफ़ करें,مسح ذاكرة التخزين المؤقت,Borrar caché,Vider le cache
Verification code resend successfully!,Verification code resend successfully!,सत्यापन कोड सफलतापूर्वक पुनः भेजा गया!,تم إعادة إرسال رمز التحقق بنجاح!,¡El código de verificación se reenvía exitosamente!,Le code de vérification a été renvoyé avec succès !
token,token,टोकन,رمز مميز,simbólico,jeton
Verification code sended to your email address,Verification code sended to your email address,सत्यापन कोड आपके ईमेल पते पर भेजा गया,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Código de verificación enviado a su dirección de correo electrónico,Code de vérification envoyé à votre adresse e-mail
Verification Otp is Invalid,Verification Otp is Invalid,सत्यापन ओटीपी अमान्य है,التحقق من Otp غير صالح,La verificación OTP no es válida,La vérification Otp est invalide
OTP successfully verified!,OTP successfully verified!,ओटीपी सफलतापूर्वक सत्यापित!,تم التحقق من كلمة مرور OTP بنجاح!,¡OTP verificada con éxito!,OTP vérifié avec succès !
OTP resend success,OTP resend success,ओटीपी पुनः भेजने में सफलता,تم إعادة إرسال OTP بنجاح,Reenvío OTP exitoso,OTP renvoie avec succès
Password reset success,Password reset success,पासवर्ड रीसेट सफल,نجاح إعادة تعيين كلمة المرور,Restablecimiento de contraseña exitoso,Réinitialisation réussie du mot de passe
User Successfully Logged In,User Successfully Logged In,उपयोगकर्ता सफलतापूर्वक लॉग इन हुआ,تم تسجيل دخول المستخدم بنجاح,El usuario inició sesión correctamente,Utilisateur connecté avec succès
User already exists!,User already exists!,उपयोगकर्ता पहले से मौजूद है!,المستخدم موجود بالفعل!,¡El usuario ya existe!,L'utilisateur existe déjà !
Registration failed! Please try again,Registration failed! Please try again,पंजीकरण विफल रहा! कृपया पुन: प्रयास करें,فشل التسجيل! يرجى المحاولة مرة أخرى,¡El registro falló! Por favor inténtalo de nuevo,L'inscription a échoué ! Veuillez réessayer
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,उपयोगकर्ता जानकारी लाने में विफल. कृपया पुन: प्रयास करें,فشل في جلب معلومات المستخدم. يرجى المحاولة مرة أخرى,No se pudo recuperar la información del usuario. Por favor inténtalo de nuevo,Échec de la récupération des informations utilisateur. Veuillez réessayer
Failed to generate user token! Please try again,Failed to generate user token! Please try again,उपयोगकर्ता टोकन जनरेट करने में विफल! कृपया पुन: प्रयास करें,فشل في إنشاء الرمز المميز للمستخدم! يرجى المحاولة مرة أخرى,¡No se pudo generar el token de usuario! Por favor inténtalo de nuevo,Échec de la génération du jeton utilisateur ! Veuillez réessayer
User successfully registered,User successfully registered,उपयोगकर्ता सफलतापूर्वक पंजीकृत हो गया,تم تسجيل المستخدم بنجاح,Usuario registrado exitosamente,Utilisateur enregistré avec succès
User Profile data fetch successfully!,User Profile data fetch successfully!,उपयोगकर्ता प्रोफ़ाइल डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات ملف تعريف المستخدم بنجاح!,¡Los datos del perfil de usuario se obtuvieron correctamente!,Les données du profil utilisateur ont été récupérées avec succès !
error,error,गलती,خطأ,error,erreur
Profile data updated successfully!,Profile data updated successfully!,प्रोफ़ाइल डेटा सफलतापूर्वक अपडेट किया गया!,تم تحديث بيانات الملف الشخصي بنجاح!,¡Datos de perfil actualizados exitosamente!,Données de profil mises à jour avec succès !
Password changed successfully!,Password changed successfully!,पासवर्ड सफलतापूर्वक बदला गया!,تم تغيير كلمة المرور بنجاح!,¡La contraseña se cambió correctamente!,Mot de passe modifié avec succès !
Language Name,Language Name,भाषा का नाम,اسم اللغة,Nombre del idioma,Nom de la langue
Language Code,Language Code,भाषा कोड,رمز اللغة,Código de idioma,Code de langue
User Status,User Status,उपयोगकर्ता स्थिति,حالة المستخدم,Estado de usuario,Statut de l'utilisateur
Payment Required,Payment Required,भुगतान आवश्यक है,الدفع مطلوب,Pago requerido,Paiement requis
Too Many Requests,Too Many Requests,बहुत सारे अनुरोध,طلبات كثيرة جدًا,Demasiadas solicitudes,Trop de demandes
Service Unavailable,Service Unavailable,सेवा अनुपलब्ध है,الخدمة غير متوفرة,Servicio No Disponible,service non disponible
DOWNLOAD APP,DOWNLOAD APP,ऐप डाउनलोड करें,تحميل التطبيق,DESCARGAR APLICACIÓN,TÉLÉCHARGER L'APPLICATION
NEWSLETTER,NEWSLETTER,न्यूजलैटर,النشرة الإخبارية,HOJA INFORMATIVA,BULLETIN
SUBSCRIBE,SUBSCRIBE,सदस्यता लें,يشترك,SUSCRIBIR,S'ABONNER
You Have,You Have,आपके पास,لديك,Tienes,Tu as
Please Enter the Code,Please Enter the Code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingrese el código,Veuillez entrer le code
next,next,अगला,التالي,próximo,suivant
navigation,navigation,मार्गदर्शन,ملاحة,navegación,navigation
Showing,Showing,दिखा,عرض,Demostración,Affichage
to,to,को,ل,a,à
of,of,का,ل,de,de
results,results,परिणाम,نتائج,resultados,résultats
prev,prev,पिछला,السابق,anterior,précédent
Setup Schedule Days,Setup Schedule Days,सेटअप शेड्यूल दिन,أيام جدول الإعداد,Días de programación de configuración,Configurer les jours de planification
Admin Roles,Admin Roles,व्यवस्थापक भूमिकाएँ,أدوار المشرف,Funciones de administrador,Rôles d'administrateur
Permission Group,Permission Group,अनुमति समूह,مجموعة الأذونات,Grupo de permisos,Groupe d'autorisations
Server Information,Server Information,सर्वर जानकारी,معلومات الخادم,Información del servidor,Informations sur le serveur
Default Template,Default Template,डिफ़ॉल्ट टेम्पलेट,القالب الافتراضي,Plantilla predeterminada,Modèle par défaut
Email Unverified Users,Email Unverified Users,असत्यापित उपयोगकर्ताओं को ईमेल करें,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Enviar correo electrónico a usuarios no verificados,Envoyer un e-mail aux utilisateurs non vérifiés
User Details,User Details,उपयोगकर्ता विवरण,تفاصيل المستخدم,Detalles del usuario,Détails de l'utilisateur
Login Logs,Login Logs,लॉगइन लॉग्स,سجلات تسجيل الدخول,Registros de inicio de sesión,Journaux de connexion
User Email Logs,User Email Logs,उपयोगकर्ता ईमेल लॉग,سجلات البريد الإلكتروني للمستخدم,Registros de correo electrónico del usuario,Journaux de courrier électronique des utilisateurs
Language data fetch successfully!,Language data fetch successfully!,भाषा डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات اللغة بنجاح!,¡Los datos de idioma se obtuvieron correctamente!,Les données linguistiques ont été récupérées avec succès !
Access Denied! Unauthenticated,Access Denied! Unauthenticated,पहुंच अस्वीकृत! अपुष्ट,تم الرفض! غير مصادق عليه,¡Acceso denegado! No autenticado,Accès refusé! Non authentifié
Request token is invalid,Request token is invalid,अनुरोध टोकन अमान्य है,رمز الطلب غير صالح,El token de solicitud no es válido,Le jeton de demande n'est pas valide
"Invalid OTP, Please try again","Invalid OTP, Please try again","अमान्य ओटीपी, कृपया पुनः प्रयास करें",كلمة المرور لمرة واحدة (OTP) غير صالحة، يرجى المحاولة مرة أخرى,"OTP no válida, inténtelo de nuevo","OTP invalide, veuillez réessayer"
Session expired. Please try again,Session expired. Please try again,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,La sesión expiró. Por favor inténtalo de nuevo,Session expirée. Veuillez réessayer
Account Successfully verified,Account Successfully verified,खाता सफलतापूर्वक सत्यापित,تم التحقق من الحساب بنجاح,Cuenta verificada exitosamente,Compte vérifié avec succès
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,आपका खाता अस्थायी रूप से बंद कर दिया गया है. कृपया सिस्टम एडमिन से संपर्क करें,حسابك مؤقت. يرجى الاتصال بمسؤول النظام,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,Votre compte est temporairement bloqué. Veuillez contacter l'administrateur système
Message Details,Message Details,संदेश विवरण,تفاصيل الرسالة,Detalles del mensaje,Détails du message
Admin | Login,Admin | Login,एडमिन | लॉग इन करें,المشرف | تسجيل الدخول,Administrador | Acceso,Administrateur | Se connecter
Enter your account email address or username,Enter your account email address or username,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte
Username OR Email Address,Username OR Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو عنوان البريد الإلكتروني,Nombre de usuario O dirección de correo electrónico,Nom d'utilisateur OU adresse e-mail
Send,Send,भेजना,يرسل,Enviar,Envoyer
Reset,Reset,रीसेट करें,إعادة ضبط,Reiniciar,Réinitialiser
Password,Password,पासवर्ड,كلمة المرور,Contraseña,Mot de passe
New Password,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña,Nouveau mot de passe
Confirm Password,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña,Confirmez le mot de passe
Login,Login,लॉग इन करें,تسجيل الدخول,Acceso,Se connecter
Reset Password,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer contraseña,Réinitialiser le mot de passe
Welcome To,Welcome To,आपका स्वागत है,مرحبا بكم في,Bienvenido a,Bienvenue à
Admin Panel,Admin Panel,व्यवस्थापक पैनल,لوحة الإدارة,Panel de administración,Panneau d'administration
Email Address,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico,Adresse email
Forgot Password,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña,Mot de passe oublié
No data found!,No data found!,डाटा प्राप्त नहीं हुआ!,لم يتم العثور على بيانات!,¡No se encontraron datos!,Aucune donnée trouvée !
Full Name,Full Name,पूरा नाम,الاسم الكامل,Nombre completo,Nom et prénom
Username,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario,Nom d'utilisateur
Email,Email,ईमेल,بريد إلكتروني,Correo electrónico,E-mail
Phone,Phone,फ़ोन,هاتف,Teléfono,Téléphone
Role,Role,भूमिका,دور,Role,Rôle
Status,Status,स्थिति,حالة,Estado,Statut
Category Name,Category Name,श्रेणी नाम,اسم الفئة,Nombre de categoría,Nom de la catégorie
Created Time,Created Time,निर्मित समय,وقت الإنشاء,Hora de creación,Temps de création
Add Language,Add Language,भाषा जोड़ें,إضافة لغة,Agregar idioma,Ajouter une langue
button,button,बटन,زر,botón,bouton
Cancel,Cancel,रद्द करना,يلغي,Cancelar,Annuler
Add,Add,जोड़ना,يضيف,Agregar,Ajouter
Edit Language,Edit Language,भाषा संपादित करें,تحرير اللغة,Editar idioma,Modifier la langue
Language File,Language File,भाषा फ़ाइल,ملف اللغة,Archivo de idioma,Fichier de langue
Add New Day,Add New Day,नया दिन जोड़ें,أضف يوم جديد,Agregar nuevo día,Ajouter un nouveau jour
Day Name,Day Name,दिन का नाम,اسم اليوم,Nombre del día,Nom du jour
Add Schedule,Add Schedule,शेड्यूल जोड़ें,إضافة الجدول الزمني,Agregar horario,Ajouter un horaire
Day,Day,दिन,يوم,Día,Jour
Select Day,Select Day,दिन चुनें,اختر اليوم,Seleccionar día,Sélectionnez le jour
Event Name,Event Name,घटना नाम,اسم الحدث,Nombre del evento,Nom de l'événement
Host,Host,मेज़बान,يستضيف,Anfitrión,Hôte
Chat Link,Chat Link,चैट लिंक,رابط الدردشة,Enlace de chat,Lien de discussion
Radio Link,Radio Link,रेडियो लिंक,رابط الراديو,Enlace de radio,Liaison radio
Start Time,Start Time,समय शुरू,وقت البدء,Hora de inicio,Heure de début
End Time,End Time,अंत समय,وقت النهاية,Hora de finalización,Heure de fin
Edit Day,Edit Day,दिन संपादित करें,تحرير اليوم,Editar día,Modifier le jour
Add About Item,Add About Item,आइटम के बारे में जोड़ें,أضف حول العنصر,Agregar sobre el artículo,Ajouter à propos de l'article
Item Title,Item Title,मद शीर्षक,عنوان العنصر,Título del artículo,Titre de l'article
Item Description,Item Description,आइटम विवरण,وصف السلعة,Descripción del artículo,Description de l'article
Item Section Icon,Item Section Icon,आइटम अनुभाग चिह्न,رمز قسم العنصر,Icono de sección de artículo,Icône de section d'article
Add Announcement,Add Announcement,घोषणा जोड़ें,إضافة إعلان,Agregar anuncio,Ajouter une annonce
Select Category,Select Category,श्रेणी चुनना,حدد الفئة,Seleccionar categoría,Sélectionnez une catégorie
Select Announcement Tags,Select Announcement Tags,घोषणा टैग चुनें,حدد علامات الإعلان,Seleccionar etiquetas de anuncio,Sélectionnez les balises d'annonce
Add Banner,Add Banner,बैनर जोड़ें,إضافة لافتة,Agregar banner,Ajouter une bannière
Button Name,Button Name,बटन का नाम,اسم الزر,Nombre del botón,Nom du bouton
Button Link,Button Link,बटन लिंक,رابط الزر,Enlace de botón,Lien du bouton
Add Brand,Add Brand,ब्रांड जोड़ें,أضف علامة تجارية,Agregar marca,Ajouter une marque
Add Gallery Item,Add Gallery Item,गैलरी आइटम जोड़ें,إضافة عنصر المعرض,Agregar elemento de galería,Ajouter un élément de galerie
Add How We Do Item,Add How We Do Item,हम कैसे करते हैं आइटम जोड़ें,أضف كيف نفعل البند,Agregar artículo Cómo lo hacemos,Ajouter un article Comment nous faisons
Add Social Icon,Add Social Icon,सामाजिक चिह्न जोड़ें,إضافة أيقونة الاجتماعية,Agregar ícono social,Ajouter une icône sociale
Item Name,Item Name,आइटम नाम,اسم العنصر,Nombre del artículo,Nom de l'article
Item Link,Item Link,आइटम लिंक,رابط السلعة,Enlace del artículo,Lien vers l'article
Item Social Icon,Item Social Icon,आइटम सामाजिक चिह्न,رمز العنصر الاجتماعي,Icono social del artículo,Icône sociale de l'article
Add Team Item,Add Team Item,टीम आइटम जोड़ें,إضافة عنصر الفريق,Agregar elemento de equipo,Ajouter un élément d'équipe
Item Designation,Item Designation,आइटम पदनाम,تسمية العنصر,Designación del artículo,Désignation de l'article
Social Links,Social Links,सामाजिक कड़ियाँ,الروابط الاجتماعية,Enlaces sociales,Liens sociaux
Icon,Icon,आइकन,رمز,Icono,Icône
Link,Link,जोड़ना,وصلة,Enlace,Lien
Add Testimonial Item,Add Testimonial Item,प्रशंसापत्र आइटम जोड़ें,إضافة عنصر الشهادة,Agregar artículo de testimonio,Ajouter un élément de témoignage
Item Rating,Item Rating,आइटम रेटिंग,تقييم السلعة,Calificación del artículo,Évaluation de l'article
Add Video Item,Add Video Item,वीडियो आइटम जोड़ें,إضافة عنصر فيديو,Agregar elemento de video,Ajouter un élément vidéo
Add Page,Add Page,पृष्ठ जोड़ें,إضافة صفحة,Agregar página,Ajouter une page
Edit Page,Edit Page,संपादित पेज,تحرير الصفحة,Editar página,Modifier la page
Add Admin,Add Admin,व्यवस्थापक जोड़ें,إضافة المشرف,Agregar administrador,Ajouter un administrateur
Admin Profile Image,Admin Profile Image,व्यवस्थापक प्रोफ़ाइल छवि,صورة الملف الشخصي للمشرف,Imagen de perfil de administrador,Image du profil d'administrateur
First Name,First Name,पहला नाम,الاسم الأول,Nombre de pila,Prénom
Last Name,Last Name,उपनाम,اسم العائلة,Apellido,Nom de famille
Add New Category,Add New Category,नई श्रेणी जोड़ें,إضافة فئة جديدة,Agregar nueva categoría,Ajouter une nouvelle catégorie
Add New Screen,Add New Screen,नई स्क्रीन जोड़ें,إضافة شاشة جديدة,Agregar nueva pantalla,Ajouter un nouvel écran
Add New Permission,Add New Permission,नई अनुमति जोड़ें,إضافة إذن جديد,Agregar nuevo permiso,Ajouter une nouvelle autorisation
Permission Name,Permission Name,अनुमति का नाम,اسم الإذن,Nombre del permiso,Nom de l'autorisation
Assign Permission Page/Task,Assign Permission Page/Task,अनुमति पृष्ठ/कार्य निर्दिष्ट करें,تعيين صفحة/مهمة إذن,Asignar página/tarea de permiso,Attribuer une page/tâche d'autorisation
Edit Permission,Edit Permission,अनुमति संपादित करें,تحرير إذن,Editar permiso,Modifier l'autorisation
Add New Role,Add New Role,नई भूमिका जोड़ें,إضافة دور جديد,Agregar nuevo rol,Ajouter un nouveau rôle
Role Name,Role Name,भूमिका का नाम,اسم الدور,Nombre del rol,Nom du rôle
Edit Role,Edit Role,भूमिका संपादित करें,تحرير الدور,Editar rol,Modifier le rôle
Edit Admin,Edit Admin,व्यवस्थापक संपादित करें,تحرير المشرف,Editar administrador,Modifier l'administrateur
Edit Category,Edit Category,श्रेणी संपादित करें,تحرير الفئة,Editar categoría,Modifier la catégorie
Edit Screen,Edit Screen,स्क्रीन संपादित करें,تحرير الشاشة,Editar pantalla,Écran Modifier
Update Extension,Update Extension,एक्सटेंशन अपडेट करें,تحديث التمديد,Actualizar extensión,Mettre à jour l'extension
Send Email,Send Email,ईमेल भेजें,إرسال البريد الإلكتروني,Enviar correo electrónico,Envoyer un e-mail
Close,Close,बंद करना,يغلق,Cerca,Fermer
Send Test Mail,Send Test Mail,परीक्षण मेल भेजें,إرسال بريد الاختبار,Enviar correo de prueba,Envoyer un courrier test
"This ticket is solved, you can","This ticket is solved, you can","यह टिकट हल हो गया है, आप कर सकते हैं",تم حل هذه التذكرة، يمكنك,"Este ticket está solucionado, puedes","Ce ticket est résolu, vous pouvez"
Pending Tickets,Pending Tickets,लंबित टिकट,التذاكر المعلقة,Entradas pendientes,Billets en attente
View All,View All,सभी को देखें,عرض الكل,Ver todo,Tout afficher
Active Tickets,Active Tickets,सक्रिय टिकट,التذاكر النشطة,Entradas activas,Billets actifs
Solved Tickets,Solved Tickets,हल टिकट,تذاكر محلولة,Entradas resueltas,Billets résolus
All Tickets,All Tickets,सभी टिकट,جميع التذاكر,Todas las entradas,Tous les billets
Action,Action,कार्रवाई,فعل,Acción,Action
Mark as Solved,Mark as Solved,हल हो गया के रूप में चिह्नित करें,"وضع علامة ""محلول"".",Marcar como resuelto,Marquer comme résolu
Support Details,Support Details,समर्थन विवरण,تفاصيل الدعم,Detalles de soporte,Détails de l'assistance
Attachments,Attachments,संलग्नक,المرفقات,Adjuntos,Pièces jointes
Admin,Admin,व्यवस्थापक,مسؤل,Administración,Administrateur
Developed by,Developed by,द्वारा विकसित किया गया,تم تطويره بواسطة,Desarrollado por,Développé par
Layout Mode,Layout Mode,लेआउट मोड,وضع التخطيط,Modo de diseño,Mode Mise en page
Dark Mode,Dark Mode,डार्क मोड,الوضع المظلم,Modo oscuro,Mode sombre
Topbar Color,Topbar Color,टॉपबार रंग,لون الشريط العلوي,Color de la barra superior,Couleur de la barre supérieure
Light Mode,Light Mode,लाइट मोड,وضع الضوء,Modo de luz,Mode lumière
Sidebar Color,Sidebar Color,साइडबार का रंग,لون الشريط الجانبي,Color de la barra lateral,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,न्यूनतम साइडबार रंग,الحد الأدنى للون الشريط الجانبي,Color mínimo de la barra lateral,Couleur minimale de la barre latérale
Direction,Direction,दिशा,اتجاه,Dirección,Direction
RTL Support,RTL Support,आरटीएल समर्थन,دعم RTL,Soporte RTL,Prise en charge RTL
Reset To Default,Reset To Default,वितथ पर ले जाएं,إعادة التعيين إلى الافتراضي,Restablecer los valores predeterminados,Réinitialiser aux valeurs par défaut
Clear All,Clear All,सभी साफ करें,مسح الكل,Borrar todo,Tout effacer
No new notification found!,No new notification found!,कोई नई अधिसूचना नहीं मिली!,لم يتم العثور على إشعار جديد!,¡No se encontró ninguna notificación nueva!,Aucune nouvelle notification trouvée !
Admin Profile,Admin Profile,व्यवस्थापक प्रोफ़ाइल,الملف الشخصي للمسؤول,Perfil de administrador,Profil d'administrateur
Change Password,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña,Changer le mot de passe
text,text,मूलपाठ,نص,texto,texte
Add New,Add New,नया जोड़ो,أضف جديد,Agregar nuevo,Ajouter un nouveau
SL,SL,क्र,إس إل,SL,SL
URI,URI,यूआरआई,URI,URI,URI
All Admin Roles,All Admin Roles,सभी व्यवस्थापक भूमिकाएँ,جميع أدوار المشرف,Todas las funciones de administrador,Tous les rôles d'administrateur
Assign Admin,Assign Admin,व्यवस्थापक नियुक्त करें,تعيين المشرف,Asignar administrador,Attribuer un administrateur
